127.0.0.1 - - [27/Aug/2018:18:00:55 +0800] "GET /static/suit/bootstrap/img/glyphicons-halflings.png HTTP/1.1" 200 12799
127.0.0.1 - - [27/Aug/2018:18:01:58 +0800] "GET /admin/logout/ HTTP/1.1" 200 4832
127.0.0.1 - - [27/Aug/2018:18:01:58 +0800] "GET /static/suit/js/jquery-2.2.4.min.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2018:18:01:58 +0800] "GET /static/suit/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2018:18:01:58 +0800] "GET /static/suit/js/suit.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2018:18:01:58 +0800] "GET /static/suit/css/suit.css HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2018:18:01:58 +0800] "GET /static/suit/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2018:18:01:58 +0800] "GET /static/suit/img/bg_left_white.gif HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2018:18:01:58 +0800] "GET /static/suit/bootstrap/img/glyphicons-halflings.png HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2018:18:01:58 +0800] "GET /static/suit/img/glyphicons-halflings-white-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2018:18:01:59 +0800] "GET /admin/ HTTP/1.1" 302 -
127.0.0.1 - - [27/Aug/2018:18:01:59 +0800] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3543
127.0.0.1 - - [27/Aug/2018:18:01:59 +0800] "GET /static/suit/bootstrap/img/glyphicons-halflings-white.png HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:15:16:01 +0800] "GET /admin HTTP/1.1" 301 -
127.0.0.1 - - [28/Aug/2018:15:16:02 +0800] "GET /admin/ HTTP/1.1" 302 -
127.0.0.1 - - [28/Aug/2018:15:16:02 +0800] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3543
127.0.0.1 - - [28/Aug/2018:15:16:02 +0800] "GET /static/suit/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:15:16:02 +0800] "GET /static/suit/js/jquery-2.2.4.min.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:15:16:02 +0800] "GET /static/suit/css/suit.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:15:16:02 +0800] "GET /static/suit/js/suit.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:15:16:02 +0800] "GET /static/suit/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:15:16:02 +0800] "GET /static/suit/bootstrap/img/glyphicons-halflings-white.png HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:15:16:07 +0800] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 -
127.0.0.1 - - [28/Aug/2018:15:16:07 +0800] "GET /admin/ HTTP/1.1" 200 15325
127.0.0.1 - - [28/Aug/2018:15:16:08 +0800] "GET /static/suit/bootstrap/img/glyphicons-halflings.png HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:15:16:08 +0800] "GET /static/suit/img/glyphicons-halflings-white-shadow.png HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:15:16:08 +0800] "GET /static/suit/img/bg_left_white.gif HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:15:16:08 +0800] "GET /static/suit/img/cc_active_nav.png HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:15:16:08 +0800] "GET /static/suit/img/glyphicons-halflings-white-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:15:39:50 +0800] "GET /admin HTTP/1.1" 301 -
127.0.0.1 - - [28/Aug/2018:15:39:50 +0800] "GET /admin/ HTTP/1.1" 200 15325
127.0.0.1 - - [28/Aug/2018:15:40:30 +0800] "GET /admin/ HTTP/1.1" 200 15325
127.0.0.1 - - [28/Aug/2018:15:40:33 +0800] "GET /admin/logout/ HTTP/1.1" 200 4832
127.0.0.1 - - [28/Aug/2018:15:40:35 +0800] "GET /admin/ HTTP/1.1" 302 -
127.0.0.1 - - [28/Aug/2018:15:40:35 +0800] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3543
127.0.0.1 - - [28/Aug/2018:15:41:21 +0800] "GET /admin/login/?next=/admin/ HTTP/1.1" 500 151813
127.0.0.1 - - [28/Aug/2018:15:43:15 +0800] "GET /admin/ HTTP/1.1" 302 -
127.0.0.1 - - [28/Aug/2018:15:43:16 +0800] "GET /admin/login/?next=/admin/ HTTP/1.1" 500 151828
127.0.0.1 - - [28/Aug/2018:15:47:50 +0800] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3543
127.0.0.1 - - [28/Aug/2018:15:47:50 +0800] "GET /static/suit/css/suit.css HTTP/1.1" 200 62873
127.0.0.1 - - [28/Aug/2018:15:47:50 +0800] "GET /static/suit/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 107369
127.0.0.1 - - [28/Aug/2018:15:47:50 +0800] "GET /static/suit/js/jquery-2.2.4.min.js HTTP/1.1" 200 85578
127.0.0.1 - - [28/Aug/2018:15:47:50 +0800] "GET /static/suit/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 15732
127.0.0.1 - - [28/Aug/2018:15:47:50 +0800] "GET /static/suit/js/suit.js HTTP/1.1" 200 6415
127.0.0.1 - - [28/Aug/2018:15:47:50 +0800] "GET /static/suit/bootstrap/img/glyphicons-halflings-white.png HTTP/1.1" 200 8777
127.0.0.1 - - [28/Aug/2018:15:47:56 +0800] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 -
127.0.0.1 - - [28/Aug/2018:15:47:56 +0800] "GET /admin/ HTTP/1.1" 200 15325
127.0.0.1 - - [28/Aug/2018:15:47:57 +0800] "GET /static/suit/bootstrap/img/glyphicons-halflings.png HTTP/1.1" 200 12799
127.0.0.1 - - [28/Aug/2018:15:47:57 +0800] "GET /static/suit/img/glyphicons-halflings-white-shadow.png HTTP/1.1" 200 27257
127.0.0.1 - - [28/Aug/2018:15:47:57 +0800] "GET /static/suit/img/cc_active_nav.png HTTP/1.1" 200 432
127.0.0.1 - - [28/Aug/2018:15:47:57 +0800] "GET /static/suit/img/bg_left_white.gif HTTP/1.1" 200 105
127.0.0.1 - - [28/Aug/2018:15:47:57 +0800] "GET /static/suit/img/glyphicons-halflings-white-nav.png HTTP/1.1" 200 40145
127.0.0.1 - - [28/Aug/2018:21:41:48 +0800] "GET /admin HTTP/1.1" 301 -
127.0.0.1 - - [28/Aug/2018:21:41:49 +0800] "GET /admin/ HTTP/1.1" 200 15325
127.0.0.1 - - [28/Aug/2018:21:41:49 +0800] "GET /static/suit/css/suit.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:21:41:49 +0800] "GET /static/suit/js/suit.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:21:41:49 +0800] "GET /static/suit/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:21:41:49 +0800] "GET /static/suit/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:21:41:49 +0800] "GET /static/suit/js/jquery-2.2.4.min.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:21:41:49 +0800] "GET /static/suit/img/bg_left_white.gif HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:21:41:49 +0800] "GET /static/suit/img/glyphicons-halflings-white-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:21:41:49 +0800] "GET /static/suit/img/glyphicons-halflings-white-shadow.png HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:21:41:49 +0800] "GET /static/suit/bootstrap/img/glyphicons-halflings.png HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:21:41:49 +0800] "GET /static/suit/img/cc_active_nav.png HTTP/1.1" 304 -
127.0.0.1 - - [28/Aug/2018:21:42:44 +0800] "GET /admin/logout/ HTTP/1.1" 200 4832
127.0.0.1 - - [28/Aug/2018:21:42:47 +0800] "GET /admin/ HTTP/1.1" 302 -
127.0.0.1 - - [28/Aug/2018:21:42:47 +0800] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3543
127.0.0.1 - - [28/Aug/2018:21:42:47 +0800] "GET /static/suit/bootstrap/img/glyphicons-halflings-white.png HTTP/1.1" 304 -
